id. ID da resposta;data_collection;submitdate. Data de submissão;seed. Semente;startdate. Data de início;datestamp. Data da última acção;ID de participante;Tipo de instrumento ;G01Q06. Escolha o ID da sessão;Assigned_group;Group-Solo;Type-improv;Real_duration(s);Duration_estimate[min.];Duration_estimate[sec.];PoT[slow/fast];difficulty[easy/difficult];engagementEmotional[boring/interesting];engagementAttention[distracted/focused];familiarity[unfamiliar/familiar];focoMusica[SQ001]. Estive focado na performance musical.;focoSala[SQ001]. A minha atenção desviou-se para elementos da sala que não tinham relação com a performance musical.;focoPensExter[SQ001]. A minha atenção desviou-se para pensamentos não diretamente relacionados com a performance musical.;Branco[SQ001]. Houve momentos em que a minha mente estava “em branco” ou sem qualquer tipo de pensamento ativo.;SecundarioMusica[SQ001]. Tive pensamentos ou preocupações relacionadas com aspetos secundários e interferentes da performance musical.;Probe2. Indique. por favor. qual dos seguintes estados mentais foi mais predominante neste take:;Formato audio
176;JOBRA;2025-07-04 12:26:29;1687291333;2025-07-04 12:23:13;2025-07-04 12:26:29;Jsax4;Melodic;Grupo - B - Não familiar;Group7;Group;B;120;5;30;4.0;5.0;4.0;2.0;1.0;4.0;4.0;4.0;4.0;4.0;Estive focado em aspetos secundários e interferentes da performance musical.;.m4a
182;JOBRA;2025-07-04 12:48:32;1935158255;2025-07-04 12:46:35;2025-07-04 12:48:32;Jdrum6;Drum;Grupo - B - Não familiar;Group6;Group;B;170;4;15;3.0;4.0;5.0;5.0;1.0;5.0;1.0;1.0;1.0;1.0;Estive focado na performance musical.;.m4a
183;JOBRA;2025-07-04 12:48:49;1299077827;2025-07-04 12:46:40;2025-07-04 12:48:49;Jvoice8;Melodic;Grupo - B - Não familiar;Group6;Group;B;170;6;4;3.4;3.6;2.4;1.7;1.1;2.4;1.9;3.7;3.6;2.6;Estive focado em algo não diretamente relacionado com a performance musical.;.m4a
184;JOBRA;2025-07-04 12:49:14;2072528591;2025-07-04 12:46:48;2025-07-04 12:49:14;Jsax3;Melodic;Grupo - B - Não familiar;Group6;Group;B;170;3;30;3.1;4.0;4.0;5.0;3.5;4.5;1.0;1.0;2.4;1.3;Estive focado em aspetos secundários e interferentes da performance musical.;.m4a
185;JOBRA;2025-07-04 12:48:33;1212491926;2025-07-04 12:46:50;2025-07-04 12:48:33;Jguitar5;Harmonic;Grupo - B - Não familiar;Group6;Group;B;170;4;11;2.5;3.7;2.5;2.0;2.6;3.4;3.4;3.6;3.9;3.6;A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo.;.m4a
198;JOBRA;2025-07-04 13:21:55;2088324334;2025-07-04 13:18:56;2025-07-04 13:21:55;Jvoice1;Melodic;Grupo - B - Não familiar;Group3;Group;B;130;1;0;5.0;5.0;2.3;2.2;2.4;4.0;1.4;3.7;4.8;1.9;A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo.;.m4a
199;JOBRA;2025-07-04 13:21:10;1912707372;2025-07-04 13:19:01;2025-07-04 13:21:10;Jsax1;Melodic;Grupo - B - Não familiar;Group3;Group;B;130;2;30;3.8;2.4;4.0;3.4;4.0;4.2;2.0;2.4;2.7;3.6;Estive focado em aspetos secundários e interferentes da performance musical.;.m4a
200;JOBRA;2025-07-04 13:21:32;1642565616;2025-07-04 13:19:05;2025-07-04 13:21:32;Jdrum2;Drum;Grupo - B - Não familiar;Group3;Group;B;130;3;22;3.1;3.0;3.6;3.6;4.4;3.9;1.0;3.5;2.0;3.0;Estive focado na performance musical.;.m4a
212;JOBRA;2025-07-04 14:03:59;1981479644;2025-07-04 14:02:53;2025-07-04 14:03:59;Jbass1;Bass;Grupo - B - Não familiar;Group4;Group;B;150;2;0;3.9;1.5;2.0;5.0;5.0;5.0;1.0;1.0;1.0;1.0;Estive focado na performance musical.;.m4a
213;JOBRA;2025-07-04 14:04:46;727226838;2025-07-04 14:02:57;2025-07-04 14:04:46;Jpiano1;Harmonic;Grupo - B - Não familiar;Group4;Group;B;150;6;11;1.7;3.9;1.9;2.6;3.9;5.0;1.0;1.0;1.7;2.0;Estive focado na performance musical.;.m4a
214;JOBRA;2025-07-04 14:05:10;433132516;2025-07-04 14:02:58;2025-07-04 14:05:10;Jdrum4;Drum;Grupo - B - Não familiar;Group4;Group;B;150;2;5;3.0;1.8;4.0;3.8;3.5;4.0;4.5;2.4;2.2;3.8;Estive focado em aspetos secundários e interferentes da performance musical.;.m4a
215;JOBRA;2025-07-04 14:04:32;1382391542;2025-07-04 14:03:07;2025-07-04 14:04:32;Jvoice5;Melodic;Grupo - B - Não familiar;Group4;Group;B;150;4;10;1.0;5.0;2.0;3.0;1.0;5.0;1.0;4.0;4.0;4.0;Estive focado na performance musical.;.m4a
224;JOBRA;2025-07-04 16:05:04;2006954917;2025-07-04 16:03:14;2025-07-04 16:05:04;Jpiano3;Harmonic;Grupo - B - Não familiar;Group9;Group;B;180;5;54;3.5;4.2;4.0;3.9;2.5;3.6;1.0;1.2;4.1;1.4;Estive focado na performance musical.;.m4a
225;JOBRA;2025-07-04 16:05:00;1402145066;2025-07-04 16:03:20;2025-07-04 16:05:00;Jdrum3;Drum;Grupo - B - Não familiar;Group9;Group;B;180;3;40;2.1;4.1;4.9;2.2;3.3;4.1;2.1;3.6;3.7;3.6;Estive focado em aspetos secundários e interferentes da performance musical.;.m4a
226;JOBRA;2025-07-04 16:04:48;897065024;2025-07-04 16:03:20;2025-07-04 16:04:48;Jsax2;Melodic;Grupo - B - Não familiar;Group9;Group;B;180;6;12;3.7;1.0;4.7;5.0;5.0;5.0;1.6;1.0;1.4;1.7;Estive focado na performance musical.;.m4a
227;JOBRA;2025-07-04 16:04:22;989497465;2025-07-04 16:03:25;2025-07-04 16:04:22;Jguitar8;Harmonic;Grupo - B - Não familiar;Group9;Group;B;180;7;13;2.4;3.7;2.5;3.0;3.3;3.5;1.0;3.6;1.5;3.4;Estive focado em algo não diretamente relacionado com a performance musical.;.m4a
228;JOBRA;2025-07-04 16:17:30;430767070;2025-07-04 16:15:14;2025-07-04 16:17:30;Jguitar4;Harmonic;Grupo - B - Não familiar;Group5;Group;B;150;5;0;3.0;2.0;5.0;4.0;4.5;4.1;1.7;1.8;2.2;1.5;Estive focado na performance musical.;.m4a
229;JOBRA;2025-07-04 16:17:59;818299525;2025-07-04 16:15:50;2025-07-04 16:17:59;Jdrum5;Drum;Grupo - B - Não familiar;Group5;Group;B;150;4;15;3.9;2.4;3.8;4.4;4.2;4.2;2.2;2.3;2.3;4.1;Estive focado na performance musical.;.m4a
230;JOBRA;2025-07-04 16:18:11;1200540801;2025-07-04 16:15:53;2025-07-04 16:18:11;Jvoice6;Melodic;Grupo - B - Não familiar;Group5;Group;B;150;5;57;2.1;3.4;4;3.8;1.6;4.1;1.8;2.1;3;2.9;Estive focado em aspetos secundários e interferentes da performance musical.;.m4a
243;JOBRA;2025-07-04 16:54:54;1728883720;2025-07-04 16:53:38;2025-07-04 16:54:54;Jsax5;Melodic;Grupo - B - Não familiar;Group8;Group;B;170;4;0;4.0;1.0;4.0;4.0;4.1;4.5;1.0;2.7;3.5;1.0;Estive focado na performance musical.;.m4a
244;JOBRA;2025-07-04 16:55:02;368713848;2025-07-04 16:53:42;2025-07-04 16:55:02;Jpiano2;Harmonic;Grupo - B - Não familiar;Group8;Group;B;170;3;30;2.6;3.3;3.8;4.6;3.5;4.5;1.9;2.3;2.3;4.3;Estive focado na performance musical.;.m4a
245;JOBRA;2025-07-04 16:54:58;1943266455;2025-07-04 16:53:46;2025-07-04 16:54:58;Jvoice10;Melodic;Grupo - B - Não familiar;Group8;Group;B;170;3;2;3.0;3.9;3.0;4.1;2.2;4.5;1.0;1.0;1.0;1.0;Estive focado na performance musical.;.m4a
15;PJ;2025-02-03 17:06:20;1102900897;2025-02-03 17:03:58;2025-02-03 17:06:20;oa03B;Bass;Solo - B - Não familiar;Group0;Solo;B;170;4;0;1.8;3.7;4;2;1.5;2;1;4;1;4;Estive focado em aspetos secundários e interferentes da performance musical.;.mp3
18;PJ;2025-02-03 17:29:30;24971129;2025-02-03 17:27:21;2025-02-03 17:29:30;LA06H;Harmonic;Solo - B - Não familiar;Group0;Solo;B;170;3;0;2;3;1.5;3.5;3.5;4.5;1;1.5;2;1;Estive focado na performance musical.;.mp3
23;PJ;2025-02-03 18:23:58;742406765;2025-02-03 18:22:43;2025-02-03 18:23:58;OA05M;Melodic;Solo - B - Não familiar;Group0;Solo;B;150;3;0;2.9;3.5;2.5;3.2;3.6;3.6;4.1;2.5;2.6;4.2;Estive focado na performance musical.;.mp3
25;PJ;2025-02-03 18:43:31;860866593;2025-02-03 18:40:41;2025-02-03 18:43:31;oa07D;Drum;Solo - B - Não familiar;Group0;Solo;B;120;2;33;3.7;1.7;4;3.4;2.5;3.7;1;2.1;2.5;1;Estive focado na performance musical.;.mp3
27;PJ;2025-02-04 12:09:21;522319130;2025-02-04 12:04:52;2025-02-04 12:09:21;ea09D;Drum;Solo - B - Não familiar;Group1;Solo;B;120;2;17;3.5;1;5;4;5;4.3;1.4;1.5;4.3;1.7;Estive focado na performance musical.;.mp3
42;PJ;2025-02-04 13:25:43;1753143164;2025-02-04 13:24:17;2025-02-04 13:25:43;hh04H;Harmonic;Solo - B - Não familiar;Group1;Solo;B;150;4;0;3.3;2.6;5;3.5;5;3.4;2.4;2.2;2.1;2.3;Estive focado na performance musical.;.mp3
46;PJ;2025-02-04 13:49:00;994361434;2025-02-04 13:47:05;2025-02-04 13:49:00;BB04B;Bass;Solo - B - Não familiar;Group1;Solo;B;140;3;0;2.1;1.5;5;5;5;5;1.6;1;1;1.5;Estive focado na performance musical.;.mp3
50;PJ;2025-02-04 14:13:17;1266092702;2025-02-04 14:11:07;2025-02-04 14:13:17;MM04M;Melodic;Solo - B - Não familiar;Group1;Solo;B;150;2;40;2.5;4.5;4;4.5;1.8;3.8;1;4;1;4;Estive focado em aspetos secundários e interferentes da performance musical.;.mp3
63;PJ;2025-02-04 16:40:02;1366192800;2025-02-04 16:37:49;2025-02-04 16:40:02;Bb04tB;Bass;Solo - B - Não familiar;Group2;Solo;B;180;4;20;1;3;3.6;4.1;3.3;4;3;2.4;4.5;3;A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo.;.mp3
67;PJ;2025-02-04 17:04:41;621671279;2025-02-04 17:02:36;2025-02-04 17:04:41;Ao07tM;Melodic;Solo - B - Não familiar;Group2;Solo;B;160;2;30;4.1;3.6;4.6;4.6;3.7;3;3.2;2.9;2.9;3.1;Estive focado em algo não diretamente relacionado com a performance musical.;.wav
71;PJ;2025-02-04 17:25:05;1878456605;2025-02-04 17:23:41;2025-02-04 17:25:05;Oa08H;Harmonic;Solo - B - Não familiar;Group2;Solo;B;130;2;46;4.2;2.3;4.4;3.9;3.9;4.5;1.3;1.2;4.4;1.1;Estive focado na performance musical.;.mp3
73;PJ;2025-02-04 17:37:32;982968578;2025-02-04 17:35:44;2025-02-04 17:37:32;oa11D;Drum;Solo - B - Não familiar;Group2;Solo;B;120;1;40;2.3;4.5;4.2;3.8;1.7;3.3;1.4;3.3;2.1;1.9;Estive focado na performance musical.;.mp3
77;JOBRA;2025-06-30 11:01:07;2105573686;2025-06-30 10:57:32;2025-06-30 11:01:07;Jpiano1;Harmonic;Solo - B - Não familiar;Group4;Solo;B;180;4;0;3.6;1.6;4.4;3.9;3;4.7;1;1;4.2;1.9;Estive focado na performance musical.;.mp3
85;JOBRA;2025-06-30 11:17:28;1883626127;2025-06-30 11:16:24;2025-06-30 11:17:28;Jbass1;Bass;Solo - B - Não familiar;Group4;Solo;B;160;2;10;4;3.5;5;5;3.5;5;1;1;1.2;1;Estive focado na performance musical.;.mp3
87;JOBRA;2025-06-30 11:19:17;1734205151;2025-06-30 11:18:09;2025-06-30 11:19:17;Jsax2;Melodic;Solo - B - Não familiar;Group9;Solo;B;150;4;10;2.6;1.8;5;3.9;3.9;4;1;2.1;2.3;1.9;Estive focado em elementos físicos da sala que não tinham relação com a performance musical.;.m4a
90;JOBRA;2025-06-30 11:38:56;1767389856;2025-06-30 11:36:42;2025-06-30 11:38:56;Jguitar4;Harmonic;Solo - B - Não familiar;Group5;Solo;B;180;5;30;3;2;5;5;4;4.5;2;2;2;1.6;Estive focado na performance musical.;.mp3
91;JOBRA;2025-06-30 11:41:16;555922118;2025-06-30 11:38:15;2025-06-30 11:41:16;Jpiano2;Harmonic;Solo - B - Não familiar;Group8;Solo;B;180;3;0;3.8;2.3;5;3.5;3.5;4.4;4.6;2.4;3.5;4;Estive focado na performance musical.;.mp3
93;JOBRA;2025-06-30 11:45:33;1892500560;2025-06-30 11:43:23;2025-06-30 11:45:33;Jsax3;Melodic;Solo - B - Não familiar;Group6;Solo;B;150;4;30;3.3;1.5;4.6;1.5;4.9;4.1;1;1.7;1;2;Estive focado na performance musical.;.m4a
97;JOBRA;2025-06-30 12:05:08;2132554418;2025-06-30 12:01:08;2025-06-30 12:05:08;Jtrombone1;Melodic;Solo - B - Não familiar;no_group;Solo;B;130;3;24;4.1;3.3;3.6;2.8;3.9;3.1;1;1;4.1;2.4;A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo.;.m4a
98;JOBRA;2025-06-30 12:06:10;1602107965;2025-06-30 12:03:07;2025-06-30 12:06:10;Jpiano3;Harmonic;Solo - B - Não familiar;Group9;Solo;B;180;4;21;4.3;2.7;4.5;4.5;3.7;3.7;1;1.7;4;3.5;Estive focado em aspetos secundários e interferentes da performance musical.;.mp3
105;JOBRA;2025-06-30 12:19:02;1014768077;2025-06-30 12:17:25;2025-06-30 12:19:02;Jguitar5;Harmonic;Solo - B - Não familiar;Group6;Solo;B;180;5;9;3.3;2.7;3.9;3.5;1.6;3.9;1.4;2;2.4;1.8;Estive focado na performance musical.;.mp3
106;JOBRA;2025-06-30 12:40:41;580269257;2025-06-30 12:37:33;2025-06-30 12:40:41;Jsax1;Melodic;Solo - B - Não familiar;Group3;Solo;B;170;2;30;2.4;3.2;3.6;3.4;2.5;4.2;2.2;2.4;1.7;3.9;Estive focado na performance musical.;.m4a
108;JOBRA;2025-06-30 12:40:19;1111347552;2025-06-30 12:38:02;2025-06-30 12:40:19;Jsax5;Melodic;Solo - B - Não familiar;Group8;Solo;B;95;2;24;4;1;4;3.5;5;5;1;1;4;1;Estive focado na performance musical.;.mp3
111;JOBRA;2025-06-30 12:47:56;564392219;2025-06-30 12:45:01;2025-06-30 12:47:56;Jguitar6;Harmonic;Solo - B - Não familiar;no_group;Solo;B;140;3;0;4;2.3;5;4.3;1.8;5;1;1.5;1.5;1.4;Estive focado na performance musical.;.mp3
118;JOBRA;2025-06-30 13:11:06;924514409;2025-06-30 13:09:22;2025-06-30 13:11:06;Jvoice10;Melodic;Solo - B - Não familiar;Group8;Solo;B;160;3;2;2.6;5;3.4;2.9;1;4;2.7;2.9;1;1;Estive focado em aspetos secundários e interferentes da performance musical.;.m4a
120;JOBRA;2025-06-30 13:19:54;1026355829;2025-06-30 13:15:33;2025-06-30 13:19:54;Jvoice1;Melodic;Solo - B - Não familiar;Group3;Solo;B;95;0;40;4.1;4.9;4;2.4;2.1;4;1.6;2.5;4.7;3.8;A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo.;.mp3
121;JOBRA;2025-06-30 13:20:56;1767752602;2025-06-30 13:19:26;2025-06-30 13:20:56;Jguitar8;Harmonic;Solo - B - Não familiar;Group9;Solo;B;155;4;11;3.5;2.4;3.8;3.7;3.3;3.4;1;2.8;3.5;3.2;Estive focado na performance musical.;.mp3
125;JOBRA;2025-06-30 13:41:52;1881367365;2025-06-30 13:40:01;2025-06-30 13:41:52;Jdrum6;Drum;Solo - B - Não familiar;Group6;Solo;B;130;2;30;3;2;4;5;5;5;1;1;1;2.5;Estive focado na performance musical.;.m4a
126;JOBRA;2025-06-30 13:47:20;1578206037;2025-06-30 13:43:27;2025-06-30 13:47:20;Jvoice9;Melodic;Solo - B - Não familiar;Group7;Solo;B;40;1;2;2.9;5;3;3;1.5;4.5;2.3;2.4;2.2;3;Estive focado em aspetos secundários e interferentes da performance musical.;.mp3
130;JOBRA;2025-06-30 13:54:58;659559671;2025-06-30 13:52:43;2025-06-30 13:54:58;Jvoice8;Melodic;Solo - B - Não familiar;Group6;Solo;B;115;3;53;1.9;4.7;1.9;3.4;1;2.2;2.1;3.8;3.7;3.7;Estive focado em aspetos secundários e interferentes da performance musical.;.mp3
136;JOBRA;2025-06-30 15:45:35;2064324005;2025-06-30 15:43:43;2025-06-30 15:45:35;Jguitar7;Harmonic;Solo - B - Não familiar;Group7;Solo;B;120;3;0;3.9;1.6;5;5;3.5;5;1;1;4;1;Estive focado na performance musical.;.mp3
137;JOBRA;2025-06-30 15:46:02;1711911664;2025-06-30 15:43:54;2025-06-30 15:46:02;Jdrum3;Drum;Solo - B - Não familiar;Group9;Solo;B;160;2;50;2;3.8;4.6;2.2;4;3.3;3.8;4;2.3;4;Estive focado em aspetos secundários e interferentes da performance musical.;.m4a
146;JOBRA;2025-06-30 16:19:46;1290074089;2025-06-30 16:17:35;2025-06-30 16:19:46;Jvoice4;Melodic;Solo - B - Não familiar;no_group;Solo;B;135;2;30;2.5;3.5;3.8;3.8;2.2;3.9;1.6;2;2.8;3.5;Estive focado na performance musical.;.mp3
147;JOBRA;2025-06-30 16:21:33;1972127387;2025-06-30 16:19:45;2025-06-30 16:21:33;Jdrum2;Drum;Solo - B - Não familiar;Group3;Solo;B;140;2;40;1.6;3.5;2.4;2.4;2.4;2.6;1;3.2;3.9;3.9;A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo.;.m4a
149;JOBRA;2025-06-30 16:34:47;813752735;2025-06-30 16:31:29;2025-06-30 16:34:47;Jdrum7;Drum;Solo - B - Não familiar;Group7;Solo;B;180;2;46;3.5;2.2;4.4;3.7;4.5;4.1;4;4.2;5;3.5;A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo.;.m4a
156;JOBRA;2025-06-30 17:14:19;1623313967;2025-06-30 17:11:34;2025-06-30 17:14:19;Jvoice3;Melodic;Solo - B - Não familiar;no_group;Solo;B;160;9;43;1;1;3.6;2.3;1;3.9;3.9;2.2;3.6;2.2;Estive focado em aspetos secundários e interferentes da performance musical.;.mp3
157;JOBRA;2025-06-30 17:14:31;823066184;2025-06-30 17:13:28;2025-06-30 17:14:31;Jvoice11;Melodic;Solo - B - Não familiar;no_group;Solo;B;120;2;4;3.5;4.2;4;3.8;3.8;4.5;2.3;1;3;4.4;Estive focado na performance musical.;.mp3
158;JOBRA;2025-06-30 17:19:03;1860588757;2025-06-30 17:15:06;2025-06-30 17:19:03;Jdrum5;Drum;Solo - B - Não familiar;Group5;Solo;B;130;3;35;3.8;3;4.4;3.7;3.9;4.6;3.8;2.5;3.9;3.7;Estive focado na performance musical.;.m4a
164;JOBRA;2025-07-04 11:50:51;1310833510;2025-07-04 11:47:59;2025-07-04 11:50:51;Jsax4;Melodic;Solo - B - Não familiar;Group7;Solo;B;140;7;0;1;5;3.5;5;4;5;1;2;1;5;Estive focado na performance musical.;.mp3
177;JOBRA;2025-07-04 12:33:08;1303124598;2025-07-04 12:30:15;2025-07-04 12:33:08;Jdrum4;Drum;Solo - B - Não familiar;Group4;Solo;B;130;2;0;3.3;3.2;3.7;2.2;2.4;3.5;3.2;2.5;2.3;3.7;Estive focado em aspetos secundários e interferentes da performance musical.;.mp3
;PJ;2025-10-10 10:48:57;44549220;2025-10-10 10:46:22;2025-10-10 10:48:57;PJ2harmonic1;Harmonic;Solo - B - Não familiar;Group10;Solo;B;180;3;7;3.9;2.4;3.9;4.2;3.6;3.6;1;2.1;2.2;1.8;Estive focado na performance musical.;.m4a
;PJ;2025-10-10 11:40:18;1663597566;2025-10-10 11:38:23;2025-10-10 11:40:18;PJ2melodic1;Melodic;Grupo - B - Não familiar;Group10;Group;B;130;3;26;3.3;3.5;4;4.3;2.6;4.6;1.1;1.6;1.4;1;Estive focado na performance musical.;.m4a
;PJ;2025-10-10 11:39:43;986367082;2025-10-10 11:38:29;2025-10-10 11:39:43;PJ2harmonic1;Harmonic;Grupo - B - Não familiar;Group10;Group;B;130;3;7;4;2.4;4.6;4.6;3.7;4.5;1.2;1.1;2.1;1.2;Estive focado em aspetos secundários e interferentes da performance musical.;.m4a
;PJ;2025-10-10 11:42:12;1450637501;2025-10-10 11:38:32;2025-10-10 11:42:12;PJ2bass1;Bass;Grupo - B - Não familiar;Group10;Group;B;130;4;0;3;2.2;3.3;3.5;2.5;3.5;3.7;3.6;3.1;3.6;Estive focado na performance musical.;.m4a
;PJ;2025-10-10 12:00:56;1473081457;2025-10-10 11:58:45;2025-10-10 12:00:56;PJ2bass1;Bass;Solo - B - Não familiar;Group10;Solo;B;130;4;0;3;2;3.5;3.4;3;4;3.5;4.3;4.1;3.5;Estive focado na performance musical.;.m4a
;PJ;2025-10-10 12:00:39;102006496;2025-10-10 11:59:21;2025-10-10 12:00:39;PJ2melodic1;Melodic;Solo - B - Não familiar;Group10;Solo;B;150;3;0;2.7;4.5;3.7;3.9;2;4.6;1.3;3.4;1.8;3.6;Estive focado na performance musical.;.m4a
;PJ;2025-10-10 12:33:49;1946235373;2025-10-10 12:31:20;2025-10-10 12:33:49;pj2harmonic2;Harmonic;Solo - B - Não familiar;Group11;Solo;B;170;3;39;4.1;4;2.2;1;2.9;1.5;3;4.3;4.4;4.5;A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo.;.m4a
;PJ;2025-10-10 12:34:19;1432945544;2025-10-10 12:32:41;2025-10-10 12:34:19;PJ2bass2;Bass;Solo - B - Não familiar;Group11;Solo;B;180;2;15;2.4;3.2;4.2;4.6;3.6;4.6;1.5;1.5;1.6;2.2;Estive focado na performance musical.;.m4a
;PJ;2025-10-10 12:50:31;1889151704;2025-10-10 12:47:19;2025-10-10 12:50:31;pj2harmonic2;Harmonic;Grupo - B - Não familiar;Group11;Group;B;120;4;6;3;3;1.6;3;3.8;3.6;3.8;3.9;2.9;3.1;Estive focado na performance musical.;.m4a
;PJ;2025-10-10 12:53:25;1900089673;2025-10-10 12:47:22;2025-10-10 12:53:25;PJ2drum2;Drum;Grupo - B - Não familiar;Group11;Group;B;120;2;12;3.9;4;3.7;2.5;4.2;3.7;1.3;2.3;3.2;2.7;Estive focado em aspetos secundários e interferentes da performance musical.;.m4a
;PJ;2025-10-10 12:49:13;295380064;2025-10-10 12:47:38;2025-10-10 12:49:13;PJ2bass2;Bass;Grupo - B - Não familiar;Group11;Group;B;120;1;30;4.9;3.9;4.2;4.2;3.6;4.1;1;1;1;3.2;Estive focado na performance musical.;.m4a
