"ID da resposta","Data de submissão","Última página","Idioma inicial","Semente","Data de início","Data da última acção","Introduza o seu ID de participante.  Chave para ID: Última letra do teu primeiro nome + Última letra do primeiro nome da tua mãe + mês de aniversário  Exemplo: João, Maria, Setembro = oa09 ","Escolha o ID da sessão","Quando o investigador indicar clique no botão ""Iniciar"".   Durante a improvisação poderá usar o botão ""Marcar"" para assinalar momentos relevantes.  No fim da improvisação clique no botão ""Terminar"".     MARCAR    Iniciar  Terminar       []","Quando o investigador indicar clique no botão ""Iniciar"".   Durante a improvisação poderá usar o botão ""Marcar"" para assinalar momentos relevantes.  No fim da improvisação clique no botão ""Terminar"".     MARCAR    Iniciar  Terminar       []","Quando o investigador indicar clique no botão ""Iniciar"".   Durante a improvisação poderá usar o botão ""Marcar"" para assinalar momentos relevantes.  No fim da improvisação clique no botão ""Terminar"".     MARCAR    Iniciar  Terminar       []","Quando o investigador indicar clique no botão ""Iniciar"".   Durante a improvisação poderá usar o botão ""Marcar"" para assinalar momentos relevantes.  No fim da improvisação clique no botão ""Terminar"".     MARCAR    Iniciar  Terminar       []","{((gravarsessao_fim-gravarsessao_inicio) / 1000)} ","Durante a sessão marcou {gravarsessao_count.shown} momentos.     Use o campo seguinte para descrever brevemente o que foi relevante em cada momento.  ","Por favor estime a duração desta improvisação. [minutos] [segundos] [][Escala 1]","Por favor estime a duração desta improvisação. [minutos] [segundos] [][Escala 2]","Durante esta improvisação...\ 												'); 			});	 		}); 	}    [quão lento/rápido passou o tempo?]","Quão fácil/difícil foi a execução da tarefa pedida?\ 												'); 			});	 		}); 	}    []","Quão aborrecida/interessante foi esta tarefa?\ 												'); 			});	 		}); 	}    []","Quão distraído(a) / concentrado(a) esteve nesta tarefa?\ 												'); 			});	 		}); 	}    []","Quão familiar era esta tarefa?\ 												'); 			});	 		}); 	}    []","Estive focado na performance musical.\ 												'); 			});	 		}); 	}    []","A minha atenção desviou-se para elementos da sala que não tinham relação com a performance musical.\ 												'); 			});	 		}); 	}    []","A minha atenção desviou-se para pensamentos não diretamente relacionados com a performance musical. \ 												'); 			});	 		}); 	}    []","Houve momentos em que a minha mente estava “em branco” ou sem qualquer tipo de pensamento ativo. \ 												'); 			});	 		}); 	}    []","Tive pensamentos ou preocupações relacionadas com aspetos secundários e interferentes da performance musical. \ 												'); 			});	 		}); 	}    []","Indique, por favor, qual dos seguintes estados mentais foi mais predominante neste take:"
"38","2025-02-04 13:19:06","5","pt","2093479491","2025-02-04 13:14:32","2025-02-04 13:19:06","MM04","Grupo - A - Familiar",,,,,"NAN",,"3 minutos","0 segundos","2","2","3.8","4.5","5","4.5","1","1","1","1","Estive focado na performance musical."
"39","2025-02-04 13:17:06","5","pt","1461048332","2025-02-04 13:14:36","2025-02-04 13:17:06","ea09","Grupo - A - Familiar",,,,,"NAN",,"2 minutos","10 segundos","3","1","1.7","5","5","5","1","1","1","1","Estive focado na performance musical."
"40","2025-02-04 13:17:50","5","pt","1205799798","2025-02-04 13:14:51","2025-02-04 13:17:50","BB04","Grupo - A - Familiar",,,,,"NAN",,"2 minutos","30 segundos","2","1","5","5","5","5","1","1","1","1","Estive focado na performance musical."
"41","2025-02-04 13:17:11","5","pt","188643371","2025-02-04 13:14:52","2025-02-04 13:17:11","hh04","Grupo - A - Familiar",,,,,"NAN",,"4 minutos","0 segundos","5","4.2","5","3.7","5","3.9","1.7","1.8","1.8","2","Estive focado na performance musical."
"42","2025-02-04 13:25:43","5","pt","1753143164","2025-02-04 13:24:17","2025-02-04 13:25:43","hh04","Solo - B - Não familiar",,,,,"NAN",,"4 minutos","0 segundos","3.3","2.6","5","3.5","5","3.4","2.4","2.2","2.1","2.3","Estive focado na performance musical."
"43","2025-02-04 13:31:38","5","pt","1659072754","2025-02-04 13:29:54","2025-02-04 13:31:38","hh04","Solo - C - Livre",,,,,"NAN",,"4 minutos","18 segundos","3.4","3.4","5","3.5","5","3.7","2.2","2.1","2.5","2.2","Estive focado na performance musical."
"44","2025-02-04 13:37:31","5","pt","33439332","2025-02-04 13:35:26","2025-02-04 13:37:31","hh04","Solo - A - Familiar",,,,,"NAN",,"4 minutos","24 segundos","3.1","3","4.4","3.9","5","3.2","1.3","2.7","2.6","2.5","Estive focado na performance musical."
"45","2025-02-04 13:40:49","5","pt","2109163959","2025-02-04 13:39:00","2025-02-04 13:40:49","BB04","Solo - C - Livre",,,,,"NAN",,"3 minutos","0 segundos","2","1","5","5","5","5","1","1","1","1","Estive focado na performance musical."
"46","2025-02-04 13:49:00","5","pt","994361434","2025-02-04 13:47:05","2025-02-04 13:49:00","BB04","Solo - B - Não familiar",,,,,"NAN",,"3 minutos","0 segundos","2.1","1.5","5","5","5","5","1.6","1","1","1.5","Estive focado na performance musical."
"47","2025-02-04 13:54:16","5","pt","1895459748","2025-02-04 13:52:28","2025-02-04 13:54:16","BB04","Solo - A - Familiar",,,,,"NAN",,"2 minutos","30 segundos","2.8","1","5","5","5","5","1.2","1.3","1","1.3","Estive focado na performance musical."
"48","2025-02-04 13:59:52","5","pt","1447916950","2025-02-04 13:57:10","2025-02-04 13:59:52","MM04","Solo - A - Familiar",,,,,"NAN",,"1 minutos","45 segundos","3","3.5","4","5","4","5","1.5","1","1","1","Estive focado na performance musical."
"49","2025-02-04 14:07:03","5","pt","1231277398","2025-02-04 14:03:28","2025-02-04 14:07:03","MM04","Solo - C - Livre",,,,,"NAN",,"3 minutos","10 segundos","2.7","2.7","4.6","5","4","5","1","1","1.5","1.5","Estive focado na performance musical."
"50","2025-02-04 14:13:17","5","pt","1266092702","2025-02-04 14:11:07","2025-02-04 14:13:17","MM04","Solo - B - Não familiar",,,,,"NAN",,"2 minutos","40 segundos","2.5","4.5","4","4.5","1.8","3.8","1","4","1","4","Estive focado em aspetos secundários e interferentes da performance musical."
"51","2025-02-04 16:13:20","5","pt","1045871268","2025-02-04 15:49:26","2025-02-04 16:13:20","oa08","Grupo - B - Não familiar",,,,,"NAN",,"4 minutos","23 segundos","4","1.3","5","5","4","4.2","1","1","4.6","1","Estive focado na performance musical."
"52","2025-02-04 16:13:27","5","pt","2026426015","2025-02-04 16:10:24","2025-02-04 16:13:27","oa11","Grupo - B - Não familiar",,,,,"NAN",,"2 minutos","15 segundos","3.4","2","3.5","4","4","4","1.4","2.3","3.7","3.6","Estive focado na performance musical."
"53","2025-02-04 16:13:50","5","pt","1040154010","2025-02-04 16:10:28","2025-02-04 16:13:50","bb04t","Grupo - B - Não familiar",,,,,"NAN",,"2 minutos","37 segundos","3.6","2","4.2","2","4.5","2.5","2.8","3.4","2.6","2","Estive focado em algo não diretamente relacionado com a performance musical."
"54","2025-02-04 16:17:22","5","pt","1865568938","2025-02-04 16:14:35","2025-02-04 16:17:22","ao07t","Grupo - B - Não familiar",,,,,"NAN",,"3 minutos","0 segundos","4","2","2.5","3","4","3.8","3.4","1.5","1.6","2","Estive focado na performance musical."
"55","2025-02-04 16:24:40","5","pt","1879830825","2025-02-04 16:21:46","2025-02-04 16:24:40","ao07t","Grupo - C - Livre",,,,,"NAN",,"6 minutos","0 segundos","3.2","2.6","3.9","3.5","4","4.4","4","1.7","1.8","1.6","Estive focado na performance musical."
"56","2025-02-04 16:24:33","5","pt","1433719205","2025-02-04 16:21:48","2025-02-04 16:24:33","oa11","Grupo - C - Livre",,,,,"NAN",,"3 minutos","33 segundos","3.3","2.4","4.4","4.3","3.6","3.9","1.8","2.3","3.3","1","Estive focado na performance musical."
"57","2025-02-04 16:24:04","5","pt","1492602245","2025-02-04 16:21:56","2025-02-04 16:24:04","oa08","Grupo - C - Livre",,,,,"NAN",,"3 minutos","35 segundos","4","3.4","4.5","4.2","3.4","4.3","1.6","2.3","4","2.2","Estive focado na performance musical."
"58","2025-02-04 16:25:22","5","pt","237864260","2025-02-04 16:22:19","2025-02-04 16:25:22","bb04t","Grupo - C - Livre",,,,,"NAN",,"3 minutos","30 segundos","4.4","3.5","4.7","4.3","2","4.8","1.6","1","1.5","1","Estive focado na performance musical."
"59","2025-02-04 16:32:10","5","pt","1788922373","2025-02-04 16:29:20","2025-02-04 16:32:10","ao07t","Grupo - A - Familiar",,,,,"NAN",,"4 minutos","30 segundos","2","3.8","3.5","2.2","4","3","3.5","3","4","3.4","Estive focado em aspetos secundários e interferentes da performance musical."
"60","2025-02-04 16:33:07","5","pt","1500669231","2025-02-04 16:29:20","2025-02-04 16:33:07","bb04t","Grupo - A - Familiar",,,,,"NAN",,"3 minutos","0 segundos","2","1.6","1.4","3","5","4","1.3","3","3","1.4","Estive focado na performance musical."
"61","2025-02-04 16:32:26","5","pt","1786294299","2025-02-04 16:29:22","2025-02-04 16:32:26","oa11","Grupo - A - Familiar",,,,,"NAN",,"3 minutos","7 segundos","3.4","2.7","3.7","2.1","4.4","2.4","1.3","2","2.5","4.3","Estive focado em aspetos secundários e interferentes da performance musical."
"62","2025-02-04 16:31:09","5","pt","1080752521","2025-02-04 16:29:25","2025-02-04 16:31:09","oa08","Grupo - A - Familiar",,,,,"NAN",,"3 minutos","24 segundos","3.1","2","4.1","4.1","5","4.1","1","1.3","4.2","1.4","Estive focado na performance musical."
"63","2025-02-04 16:40:02","5","pt","1366192800","2025-02-04 16:37:49","2025-02-04 16:40:02","Bb04t","Solo - B - Não familiar",,,,,"NAN",,"4 minutos","20 segundos","1","3","3.6","4.1","3.3","4","3","2.4","4.5","3","A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo."
"64","2025-02-04 16:45:23","5","pt","1116292652","2025-02-04 16:43:11","2025-02-04 16:45:23","Bb04t","Solo - C - Livre",,,,,"NAN",,"2 minutos","6 segundos","4.7","4","5","4.7","1.9","4.1","1.8","1.5","1.8","1.3","Estive focado na performance musical."
"65","2025-02-04 16:50:08","5","pt","2069865316","2025-02-04 16:48:46","2025-02-04 16:50:08","Bb04t","Solo - A - Familiar",,,,,"NAN",,"2 minutos","5 segundos","5","3","4.7","4.4","4.5","4.6","1.4","1.4","2","1.4","Estive focado na performance musical."
"66","2025-02-04 16:59:17","5","pt","1221092659","2025-02-04 16:57:17","2025-02-04 16:59:17","Ao07t","Solo - C - Livre",,,,,"NAN",,"3 minutos","30 segundos","2.2","1.7","4","4.4","4.2","4.5","1.9","4.3","3.2","2.2","Estive focado na performance musical."
"67","2025-02-04 17:04:41","5","pt","621671279","2025-02-04 17:02:36","2025-02-04 17:04:41","Ao07t","Solo - B - Não familiar",,,,,"NAN",,"2 minutos","30 segundos","4.1","3.6","4.6","4.6","3.7","3","3.2","2.9","2.9","3.1","Estive focado em algo não diretamente relacionado com a performance musical."
"68","2025-02-04 17:09:47","5","pt","1761659758","2025-02-04 17:07:54","2025-02-04 17:09:47","ao07t","Solo - A - Familiar",,,,,"NAN",,"3 minutos","10 segundos","1.9","3.8","2.2","2.4","3.8","2.3","3.7","3.7","3.9","3.6","Estive focado em elementos físicos da sala que não tinham relação com a performance musical."
"69","2025-02-04 17:15:59","5","pt","1930057468","2025-02-04 17:14:05","2025-02-04 17:15:59","oa08","Solo - A - Familiar",,,,,"NAN",,"3 minutos","5 segundos","3.8","2.4","4.1","3.9","4.8","4","1.6","2.8","4.2","2","Estive focado na performance musical."
"70","2025-02-04 17:20:27","5","pt","1599386165","2025-02-04 17:19:12","2025-02-04 17:20:27","Oa08","Solo - C - Livre",,,,,"NAN",,"3 minutos","10 segundos","4.2","4","3.3","4.5","3.3","4.3","1.7","1.5","4.7","1.3","Estive focado em aspetos secundários e interferentes da performance musical."
"71","2025-02-04 17:25:05","5","pt","1878456605","2025-02-04 17:23:41","2025-02-04 17:25:05","Oa08","Solo - B - Não familiar",,,,,"NAN",,"2 minutos","46 segundos","4.2","2.3","4.4","3.9","3.9","4.5","1.3","1.2","4.4","1.1","Estive focado na performance musical."
"72","2025-02-04 17:32:24","5","pt","1686231268","2025-02-04 17:30:42","2025-02-04 17:32:24","oa11","Solo - C - Livre",,,,,"NAN",,"3 minutos","6 segundos","2.8","4","5","4.2","3.9","4.3","1.3","1.3","1.5","1.3","Estive focado na performance musical."
"73","2025-02-04 17:37:32","5","pt","982968578","2025-02-04 17:35:44","2025-02-04 17:37:32","oa11","Solo - B - Não familiar",,,,,"NAN",,"1 minutos","40 segundos","2.3","4.5","4.2","3.8","1.7","3.3","1.4","3.3","2.1","1.9","Estive focado na performance musical."
"74","2025-02-04 17:43:29","5","pt","342035068","2025-02-04 17:41:42","2025-02-04 17:43:29","oa11","Solo - A - Familiar",,,,,"NAN",,"2 minutos","40 segundos","3","2.3","4.4","4.3","4.6","4.1","1.7","1.4","1.7","1.8","Estive focado na performance musical."
"75",,,"pt","18210014","2025-06-30 10:55:44","2025-06-30 10:55:44",,,,,,,,,"","",,,,,,,,,,,
"76",,"3","pt","1784798440","2025-06-30 10:55:55","2025-06-30 10:57:16","teste","Solo - A - Familiar",,,,,"NAN",,"3 minutos","4 segundos","4.4","3.4","3.5","4.6","5",,,,,,
"77","2025-06-30 11:01:07","5","pt","2105573686","2025-06-30 10:57:32","2025-06-30 11:01:07","Jpiano1","Solo - B - Não familiar",,,,,"NAN",,"4 minutos","0 segundos","3.6","1.6","4.4","3.9","3","4.7","1","1","4.2","1.9","Estive focado na performance musical."
"78","2025-06-30 11:00:02","5","pt","1929286784","2025-06-30 10:59:24","2025-06-30 11:00:02","pp26","Solo - A - Familiar",,,,,"NAN",,"2 minutos","10 segundos","3.8","4.2","1.7","4.1","2.1","2.1","1.5","1","4.1","3.8","Estive focado em elementos físicos da sala que não tinham relação com a performance musical."
"79","2025-06-30 11:07:18","5","pt","199458110","2025-06-30 11:04:29","2025-06-30 11:07:18","jbass1","Solo - C - Livre",,,,,"NAN",,"2 minutos","50 segundos","2","1.5","4","4","4.3","4.5","1","1.7","1","2","Estive focado na performance musical."
"80","2025-06-30 11:07:00","5","pt","1064364146","2025-06-30 11:04:42","2025-06-30 11:07:00","Jpiano1","Solo - A - Familiar",,,,,"NAN",,"4 minutos","0 segundos","3.6","1","4.6","4","5","4.6","1.5","1.3","4.2","1.5","Estive focado na performance musical."
"81","2025-06-30 11:08:54","5","pt","1269600752","2025-06-30 11:06:49","2025-06-30 11:08:54","Jsax2","Solo - C - Livre",,,,,"NAN",,"3 minutos","11 segundos","3.9","1","5","4.2","4","4.2","1.1","1.1","1.9","4","Estive focado na performance musical."
"82","2025-06-30 11:12:32","5","pt","1765311808","2025-06-30 11:10:49","2025-06-30 11:12:32","Jpiano1","Solo - C - Livre",,,,,"NAN",,"3 minutos","30 segundos","4.3","2.8","5","3.7","2.4","4.1","1.5","1.3","3.4","2","A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo."
"83","2025-06-30 11:12:41","5","pt","1732933298","2025-06-30 11:10:58","2025-06-30 11:12:41","jbass1","Solo - A - Familiar",,,,,"NAN",,"3 minutos","35 segundos","4.5","1.2","3.5","5","5","5","1.5","1","4.3","1.2","Estive focado na performance musical."
"84","2025-06-30 11:14:19","5","pt","692787885","2025-06-30 11:13:21","2025-06-30 11:14:19","Jsax2","Solo - A - Familiar",,,,,"NAN",,"5 minutos","28 segundos","4.1","1.9","5","4.8","5","5","1","1.3","1","2.3","Estive focado na performance musical."
"85","2025-06-30 11:17:28","5","pt","1883626127","2025-06-30 11:16:24","2025-06-30 11:17:28","jbass1","Solo - B - Não familiar",,,,,"NAN",,"2 minutos","10 segundos","4","3.5","5","5","3.5","5","1","1","1.2","1","Estive focado na performance musical."
"86",,,"pt","1570092136","2025-06-30 11:17:58","2025-06-30 11:17:58",,,,,,,,,"","",,,,,,,,,,,
"87","2025-06-30 11:19:17","5","pt","1734205151","2025-06-30 11:18:09","2025-06-30 11:19:17","Jsax2","Solo - B - Não familiar",,,,,"NAN",,"4 minutos","10 segundos","2.6","1.8","5","3.9","3.9","4","1","2.1","2.3","1.9","Estive focado em elementos físicos da sala que não tinham relação com a performance musical."
